experiment,category,status
Exp 002,positive,PASS
Exp 002,obvious_negative,FAIL
Exp 002,hard_negative,FAIL
Exp 002,edge_case,FAIL
Exp 002,invalid_input,NOT RECORDED
Exp 002,stability_repeat,NOT RECORDED
Exp 003,positive,PASS
Exp 003,obvious_negative,PASS
Exp 003,hard_negative,PASS
Exp 003,edge_case,PASS
Exp 003,invalid_input,PASS
Exp 003,stability_repeat,PASS
Exp 004,positive,PASS
Exp 004,obvious_negative,PASS
Exp 004,hard_negative,PASS
Exp 004,edge_case,PASS
Exp 004,invalid_input,PASS
Exp 004,stability_repeat,PASS
